descriptor-H_s	descriptor-O_s	C3H6O_g	C3H6_g	H2O_g	H2_g
-2.6363636363636367	-3.6363636363636367	0.0	3.5038263217230633e-32	3.503865424158444e-32	0.0
-2.6363636363636367	-4.090909090909091	0.0	4.410865018779709e-28	4.412010063769081e-28	0.0
-2.6363636363636367	-4.545454545454546	1.348401863406213e-28	2.1533927069148373e-27	2.1529984727853294e-27	1.6560217027174873e-29
-2.6363636363636367	-5.0	0.0	3.272704331701338e-27	3.272650331073995e-27	1.722717554099907e-27
-3.090909090909091	0.0	0.0	3.486361441827364e-49	1.7367326964923473e-34	3.8340218558420526e-36
-3.090909090909091	-0.45454545454545503	0.0	2.86780242825565e-46	1.3457636442150903e-32	8.21149994511504e-32
-3.090909090909091	-0.9090909090909092	0.0	2.3675205711432097e-43	7.169351569942037e-31	7.169351584880224e-30
-3.090909090909091	-1.3636363636363638	0.0	2.3122739696731305e-40	7.81294701586066e-31	7.812947296571148e-30
-3.090909090909091	-1.8181818181818183	0.0	1.814047115032427e-36	2.413159228430154e-30	2.4131140544532447e-29
-3.090909090909091	-2.272727272727273	0.0	5.463676042184785e-35	4.623747299224587e-31	4.612920345382466e-30
-3.090909090909091	-2.7272727272727275	0.0	3.6580989057058417e-37	1.3304430246640772e-33	1.3052446339984986e-32
-3.090909090909091	-3.1818181818181817	0.0	4.4526615457558825e-28	4.453122387935928e-28	0.0
-3.090909090909091	-3.6363636363636367	2.6171468644426127e-30	1.482290683697393e-29	1.4825456845832813e-29	0.0
-3.090909090909091	-4.090909090909091	2.667918461156622e-28	1.4032670111817142e-27	1.403928929092544e-27	0.0
-3.090909090909091	-4.545454545454546	2.6009024469038943e-28	2.1525024003468783e-27	2.1525024003468783e-27	0.0
-3.090909090909091	-5.0	0.0	5.722975803235818e-29	5.723259105631423e-29	3.011863900674739e-29
-3.5454545454545454	0.0	0.0	1.922911628240171e-33	2.4941094292947288e-55	0.0
-3.5454545454545454	-0.45454545454545503	0.0	2.050849386279999e-52	5.3089033518417815e-36	1.8525823746735818e-33
-3.5454545454545454	-0.9090909090909092	0.0	1.6866899155349113e-49	2.822892759285362e-34	2.8228927594490454e-33
-3.5454545454545454	-1.3636363636363638	0.0	1.38874975554263e-46	2.824561275343263e-34	2.8245612340106622e-33
-3.5454545454545454	-1.8181818181818183	0.0	1.1763585241011857e-43	2.8666704366202485e-34	2.866582280876943e-33
-3.5454545454545454	-2.272727272727273	0.0	7.509851356263093e-41	2.5832300089683703e-34	2.4681320745793868e-33
-3.5454545454545454	-2.7272727272727275	0.0	2.0043440995930167e-38	2.0494027917495247e-34	8.284531456117291e-34
-3.5454545454545454	-3.1818181818181817	0.0	1.1696996094987942e-36	9.279936308397944e-35	0.0
-3.5454545454545454	-3.6363636363636367	3.617293040225441e-29	3.774742141157299e-27	3.773737645452658e-27	0.0
